[0.79700048 0.72663701]
[0.249638   0.81856936]
[0.88133281 0.47617535]
[0.03974155 0.1636674 ]
[0.05927479 0.5833699 ]
[0.06928389 0.42245796]
[0.74906745 0.24211799]
[0.52003057 0.55835587]
[0.6033425  0.89056989]
[0.42773025 0.34887126]
[0.92763084 0.68859835]
[0.61983617 0.40873489]
[0.45617126 0.7751907 ]
[0.87631976 0.20847615]
[0.4186659  0.05860311]
[0.19088414 0.58325583]
[0.59854913 0.11141578]
[0.29631799 0.38363811]
[0.56646436 0.69544325]
[0.11017893 0.01374932]
[0.10826416 0.30488549]
[0.01181137 0.77224114]
[0.04912892 0.1642053 ]
[0.42826573 0.8060438 ]
[0.1686498  0.89592517]
[0.88439916 0.98275458]
[0.51075878 0.52325004]
[0.37108216 0.23601238]
[0.67940569 0.3081707 ]
[0.40722324 0.95493687]
[0.65076883 0.34339861]
[0.78493596 0.7986283 ]
[0.32167386 0.02251304]
[0.48737247 0.20757153]
[0.6220908  0.10802149]
[0.7191824  0.37424151]
[0.03945322 0.86461044]
[0.6524022  0.20584055]
[0.50761101 0.96731512]
[0.21506685 0.94976135]
[0.81205394 0.77918476]
[0.23835863 0.86077753]
[0.86330557 0.11025275]
[0.88799068 0.88838681]
[0.28537574 0.42224596]
[0.95294604 0.34100306]
[0.56386438 0.96399766]
[0.21708095 0.42005338]
[0.84075489 0.45071588]
[0.48040465 0.41883119]
[0.1301534  0.93038692]
[0.37179218 0.2712624 ]
[0.21096967 0.069033  ]
[0.63762179 0.17094997]
[0.70318866 0.13290854]
[0.61895073 0.62122834]
[0.86660393 0.47384961]
[0.03156612 0.20498916]
[0.34814674 0.61900916]
[0.43216554 0.2094645 ]
[0.65956443 0.73092808]
[0.31008146 0.61931288]
[0.7319123  0.47828308]
[0.42288026 0.66919938]
[0.51156659 0.15074242]
[0.31748645 0.40830361]
[0.3602752  0.06058785]
[0.38803218 0.90904321]
[0.25898576 0.82156594]
[0.91175395 0.97631428]
[0.7732596  0.41020546]
[0.24521286 0.94614609]
[0.26907504 0.20783814]
[0.81216533 0.19652194]
[0.25556673 0.02523705]
[0.70901245 0.25702956]
[0.07525174 0.36523363]
[0.67249069 0.94862336]
[0.35796925 0.43487182]
[0.84315633 0.94249175]
[0.07187417 0.15006195]
[0.71531095 0.62331967]
[0.00250027 0.52118201]
[0.56800681 0.07482783]
[0.22552643 0.84678645]
[0.97924305 0.48265021]
[0.8562348  0.98870785]
[0.01564427 0.67245087]
[0.7773836  0.61442717]
[0.11017783 0.15084421]
[0.88202364 0.22654463]
[0.73154616 0.93011218]
[0.64229841 0.96942285]
[0.29249067 0.95765516]
[0.17966714 0.63648484]
[0.56713658 0.77453173]
[0.7286405  0.46283725]
[0.47489938 0.18833874]
[0.72237152 0.10163181]
[0.50617226 0.78593168]
[0.52331862 0.6693691 ]
[0.75822783 0.43135979]
[0.32823069 0.13717499]
[0.97362228 0.24895236]
[0.07159394 0.88771532]
[0.89254542 0.00221179]
[0.64082601 0.50177911]
[0.76769332 0.47086742]
[0.26008146 0.41406745]
[0.29786949 0.12069137]
[0.63723449 0.31655886]
[0.97761773 0.39901441]
[0.69790862 0.2582139 ]
[0.09470041 0.5092913 ]
[0.07847374 0.30727977]
[0.73356208 0.88309987]
[0.30261638 0.62931794]
[0.49087949 0.24723692]
[0.9408597  0.34439159]
[0.93815378 0.93844808]
[0.71828297 0.15576325]
[0.09359738 0.15887978]
[0.08625949 0.78451212]
[0.01656026 0.56524292]
[0.91962039 0.34082236]
[0.8192571  0.13778682]
[0.77646908 0.50817981]
[0.27855076 0.60049901]
[0.7336708  0.23404876]
[0.86616378 0.78657598]
[0.28778882 0.51369978]
[0.42028677 0.98698593]
[0.97357858 0.29930865]
[0.37919207 0.54897434]
[0.55069279 0.61892447]
[0.37035038 0.4004102 ]
[0.30066223 0.69862057]
[0.82961482 0.88517708]
[0.76701121 0.05276905]
[0.69416321 0.94857357]
[0.92614898 0.62901201]
[0.43463078 0.96796978]
[0.50147733 0.06488524]
[0.89319145 0.48733179]
[0.50146667 0.8500535 ]
[0.07012236 0.05805885]
[0.4033423 0.9717764]
[0.90523172 0.6692754 ]
[0.8481002  0.63216029]
[0.57837066 0.1913025 ]
[0.76653942 0.72557107]
[0.85263307 0.01144888]
[-0.01190644  0.65252543]
[0.31865847 0.70576954]
[0.08259207 0.07138952]
[0.79624846 0.59694947]
[0.2336578  0.32327594]
[0.48361843 0.465585  ]
[0.57384587 0.44843123]
[0.37064122 0.98043431]
[0.58621854 0.28391413]
[0.52348834 0.8387614 ]
[0.61594473 0.46824318]
[0.39299563 0.57504373]
[0.91983148 0.90072053]
[0.50093962 0.81286117]
[0.49692185 0.48514338]
[0.24058178 0.28538483]
[0.82023906 0.77887582]
[0.08028654 0.70777689]
[0.52855739 0.0985042 ]
[0.79856162 0.9319243 ]
[0.06369385 0.91803226]
[0.63204461 0.60410741]
[0.26382599 0.07175633]
[0.39549867 0.2452807 ]
[0.48432823 0.10388817]
[0.76302735 0.32097277]
[0.78484341 0.8460326 ]
[0.52376806 0.46981717]
[0.71399656 0.25806799]
[0.14647713 0.27220638]
[0.49773945 0.9378135 ]
[0.80655022 0.07356852]
[0.69931708 0.3560992 ]
[0.82031851 0.64896173]
[0.70217087 0.82976269]
[0.9692854 0.4211931]
[0.2490282  0.58697138]
[0.93431221 0.1678524 ]
[0.79644136 0.85811706]
[0.03701735 0.58845419]
[0.89977979 0.09832944]
[0.59414498 0.32742607]
[0.92573015 0.12188541]
[0.66044368 0.80987873]
[0.60518176 0.48017683]
[0.84512722 0.41644904]
[0.35325912 0.04756167]
[0.68434918 0.68830311]
[0.03089468 0.67356811]
[0.74774924 0.62217242]
[0.40572307 0.5386914 ]
[0.69989972 0.6820381 ]
[0.96838658 0.46036109]
[0.77017282 0.27223626]
[0.30794369 0.8894816 ]
[0.00598154 0.58758979]
[0.67550057 0.41464049]
[0.91966942 0.78122783]
[0.73692338 0.93955736]
[0.19051656 0.22041957]
[0.15823201 0.15245575]
[0.1992921  0.68129713]
[0.14602055 0.53958496]
[0.04399474 0.34631196]
[0.39090825 0.55314762]
[0.80408463 0.30326376]
[0.93027527 0.70951529]
[0.18769724 0.0238502 ]
[0.27519734 0.52456457]
[0.42113529 0.87800834]
[0.71973783 0.03835747]
[0.61584451 0.7852104 ]
[0.14136113 0.82978987]
[0.28452184 0.6573399 ]
[0.77973472 0.35262643]
[0.30082188 0.74925672]
[0.19769228 0.4647559 ]
[0.32244927 0.51777235]
[0.53196069 0.66751142]
[0.01136571 0.54821383]
[0.84609534 0.22258205]
[0.12452794 0.55815556]
[0.84443988 0.16529158]
[0.33516234 0.46316017]
[0.66814901 0.38757047]
[0.31823538 0.34328626]
[0.35786997 0.11654558]
[0.85840715 0.08462721]
[0.20076752 0.16144223]
[0.29970695 0.21605033]
[0.19859383 0.51011003]
[0.99232132 0.46135279]
[0.02159812 0.85854008]
[0.23522182 0.4988789 ]
[0.40100167 0.84500691]
[0.73181421 0.85131092]
[0.96871434 0.3691779 ]
[0.93822927 0.1774308 ]
[0.80864684 0.43967106]
[0.65486886 0.82470953]
[0.71366223 0.05016435]
[0.82324091 0.52539278]
[0.98129244 0.27008094]
[0.36366173 0.82864894]
[0.90076327 0.66967126]
[0.2604431  0.14709593]
[0.39946687 0.15594901]
[0.91420286 0.0969651 ]
[0.94595249 0.64067273]
[0.924474   0.07354416]
[0.88349816 0.3997587 ]
[0.14813022 0.29942764]
[0.0089782  0.59113028]
[0.55521317 0.79042737]
[0.79060778 0.96717811]
[ 0.88608226 -0.00176859]
[0.61620172 0.35216087]
[0.89956454 0.03734766]
[0.03705257 0.214455  ]
[0.96638889 0.60778478]
[0.69594299 0.83706225]
[ 0.8588902  -0.01527793]
[0.68365575 0.71456435]
[0.17994309 0.04809469]
[0.13753229 0.79728155]
[0.0564463  0.11433801]
[0.12088385 0.32087951]
[0.27718594 0.36448135]
[0.39830711 0.43996585]
[0.49791462 0.10315927]
[0.56774481 0.07913963]
[0.14383803 0.62018117]
[0.02883292 0.46275557]
[0.64318805 0.19466004]
[0.51249275 0.6335873 ]
[0.73663096 0.50110348]
[0.8724793  0.41146175]
[0.56533375 0.29656469]
[0.72815577 0.59107793]
[0.2393019 0.0137426]
[0.59826486 0.59116283]
[0.22018406 0.94420339]
[0.14503865 0.73940961]
[0.18605705 0.0778781 ]
[0.55965686 0.1804832 ]
[0.21728932 0.59027285]
[0.75635561 0.57364947]
[0.2095278  0.33531604]
[0.70874109 0.19064116]
[0.94326644 0.32038999]
[0.77152094 0.95579228]
[0.18640509 0.33626448]
[0.97870995 0.51271156]
[0.59728125 0.97021886]
